game_id,team,player,player_id,position,starter,min,fgm,fga,fg2m,fg2a,fg3m,fg3a,ftm,fta,pts,reb,ast,to,stl,blk,oreb,dreb,pf,game_date,season,opponent,home_away,ncat_score,opp_score,win,team_min,team_fga,team_fta,team_to,team_poss,ortg,drtg,pace,opp_drtg_pregame,opp_ortg_pregame,opp_pace_pregame,torvik_barthag,torvik_adjoe,rim_rate,three_rate,mid_rate,avg_shot_dist,assisted_rate,foul_drawn_rate,ts_pct,efg_pct,usg_pct,pts_per40,reb_per40,ast_per40,stl_per40,blk_per40,to_per40,fgm_per40,fga_per40,fg3m_per40,fg3a_per40,ftm_per40,fta_per40,oreb_per40,dreb_per40,low_min_flag,position_enc,ts_pct_r5,ts_pct_season,usg_pct_r5,usg_pct_season,pts_per40_r5,pts_per40_season,reb_per40_r5,reb_per40_season,ast_per40_r5,ast_per40_season,to_per40_season,rim_rate_r5,three_rate_r5,avg_shot_dist_r5,assisted_rate_r5,foul_drawn_rate_r5,on_hot_streak,prev_game_date,days_rest,is_home
401603628,Monmouth Hawks,S. Clesca,4703736,G,True,26.0,3,9,1,5,2,4,6,6,14,2,1,3,0,0,1,1,3,2024-02-18,2024,Monmouth Hawks,home,76,80,0,250.0,66,30,17,89.2,91.01251422070534,86.46188850967008,87.9,,,,,,,,,,,,0.6013745704467354,0.4444444444444444,29.26595234287542,21.53846153846154,3.076923076923077,1.5384615384615385,0.0,0.0,4.615384615384616,4.615384615384616,13.846153846153847,3.076923076923077,6.153846153846154,9.230769230769232,9.230769230769232,1.5384615384615385,1.5384615384615385,0,0.0,,,,,,,,,,,,,,,,,0,,7.0,1
401813787,Texas Tech Lady Raiders,S. Collins,4704453,G,False,22.0,6,15,6,12,0,3,3,4,15,6,0,1,1,1,0,6,2,2025-11-04,2026,Texas Tech Lady Raiders,away,40,78,0,200.0,64,18,14,77.92,105.69105691056907,54.20054200542005,73.80000000000001,,,,,,,,,,,,0.4474940334128878,0.4,37.58252920264094,27.272727272727273,10.909090909090908,0.0,1.8181818181818181,1.8181818181818181,1.8181818181818181,10.909090909090908,27.272727272727273,0.0,5.454545454545454,5.454545454545454,7.2727272727272725,0.0,10.909090909090908,0,0.0,,,,,,,,,,,,,,,,,0,,7.0,0
401641533,Old Dominion Monarchs,S. Cunningham,5176120,G,True,22.0,3,4,3,4,0,0,0,2,6,4,1,1,3,2,3,1,4,2024-03-24,2024,Old Dominion Monarchs,home,48,45,1,200.0,53,12,22,73.28,62.55212677231026,66.72226855713095,71.94,,,,,,,,,,,,0.6147540983606558,0.75,13.317026769941567,10.909090909090908,7.2727272727272725,1.8181818181818181,5.454545454545454,3.6363636363636362,1.8181818181818181,5.454545454545454,7.2727272727272725,0.0,0.0,0.0,3.6363636363636362,5.454545454545454,1.8181818181818181,0,0.0,,,,,,,,,,,,,,,,,0,,7.0,1
401582263,North Carolina A&T Aggies,S. Darks,4705326,G,False,14.0,0,3,0,0,0,3,0,0,0,2,1,2,0,0,1,1,0,2023-11-07,2024,Georgia Lady Bulldogs,away,59,71,0,200.0,58,23,12,70.12,81.06622698543556,97.55427315196482,72.78,,,,,,,,,,,,0.0,0.0,17.83039726125098,0.0,5.714285714285714,2.857142857142857,0.0,0.0,5.714285714285714,0.0,8.571428571428571,0.0,8.571428571428571,0.0,0.0,2.857142857142857,2.857142857142857,0,0.0,,,,,,,,,,,,,,,,,0,,7.0,0
401582268,North Carolina A&T Aggies,S. Darks,4705326,G,False,11.0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2023-12-09,2024,Mercer Bears,home,52,55,0,200.0,60,6,12,65.64,77.86762503743635,82.35998802036538,66.78,,,,,,,,,,,,0.0,0.0,14.615609470914936,0.0,0.0,0.0,0.0,0.0,10.909090909090908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,0,2023-11-07,32.0,1
401582289,North Carolina A&T Aggies,S. Darks,4705326,G,False,13.0,1,3,0,2,1,1,4,6,7,2,2,2,0,0,1,1,3,2023-12-19,2024,Stetson Hatters,away,57,54,1,200.0,52,25,13,65.0,82.65661252900232,78.30626450116009,68.96000000000001,,,,,,,,,,,,0.6205673758865248,0.5,30.93117408906883,21.53846153846154,6.153846153846154,6.153846153846154,0.0,0.0,6.153846153846154,3.076923076923077,9.230769230769232,3.076923076923077,3.076923076923077,12.307692307692308,18.461538461538463,3.076923076923077,3.076923076923077,0,0.0,0.0,,16.223003366082956,,0.0,,2.857142857142857,,1.4285714285714286,,,,,,,,0,2023-12-09,10.0,0
401582290,North Carolina A&T Aggies,S. Darks,4705326,G,False,17.0,1,4,1,4,0,0,2,2,4,0,0,0,1,0,0,0,0,2023-12-20,2024,Bethune-Cookman Wildcats,away,66,47,1,200.0,45,26,21,70.44,91.28630705394191,65.00691562932226,72.3,,,,,,,,,,,,0.4098360655737705,0.25,14.827418570734077,9.411764705882353,0.0,0.0,2.3529411764705883,0.0,0.0,2.3529411764705883,9.411764705882353,0.0,0.0,4.705882352941177,4.705882352941177,0.0,0.0,0,0.0,0.20685579196217493,0.20685579196217493,21.12572694041158,21.12572694041158,7.17948717948718,7.17948717948718,3.956043956043956,3.956043956043956,3.0036630036630036,3.0036630036630036,7.592407592407593,,,,,,0,2023-12-19,1.0,0
401582291,North Carolina A&T Aggies,S. Darks,4705326,G,False,19.0,3,8,3,6,0,2,1,2,7,2,4,1,2,0,2,0,1,2023-12-30,2024,Averett Cougars,home,90,30,1,200.0,76,23,19,89.12,105.09107893507708,35.03035964502569,85.64,,,,,,,,,,,,0.3941441441441441,0.375,19.786910197869105,14.736842105263158,4.2105263157894735,8.421052631578947,4.2105263157894735,0.0,2.1052631578947367,6.315789473684211,16.842105263157894,0.0,4.2105263157894735,2.1052631578947367,4.2105263157894735,4.2105263157894735,0.0,0,0.0,0.2576008603650738,0.2576008603650738,19.551149847992207,19.551149847992207,7.737556561085974,7.737556561085974,2.967032967032967,2.967032967032967,2.2527472527472527,2.2527472527472527,5.694305694305695,,,,,,1,2023-12-20,10.0,1
401603528,North Carolina A&T Aggies,S. Darks,4705326,G,False,17.0,2,2,1,1,1,1,1,2,6,7,4,2,0,0,1,6,0,2024-01-05,2024,Charleston Cougars,home,58,63,0,200.0,67,21,15,68.24,83.47725964306277,90.67357512953369,69.47999999999999,,,,,,,,,,,,1.0416666666666667,1.25,12.58477963741393,14.117647058823529,16.47058823529412,9.411764705882353,0.0,0.0,4.705882352941177,4.705882352941177,4.705882352941177,2.3529411764705883,2.3529411764705883,2.3529411764705883,4.705882352941177,2.3529411764705883,14.117647058823529,0,0.0,0.28490951712088786,0.28490951712088786,19.598301917967586,19.598301917967586,9.137413669921411,9.137413669921411,3.2157316367842683,3.2157316367842683,3.486408328513592,3.486408328513592,4.976497187023503,,,,,,1,2023-12-30,6.0,1
401603556,North Carolina A&T Aggies,S. Darks,4705326,G,False,16.0,3,3,3,3,0,0,1,2,7,3,1,3,0,0,0,3,3,2024-01-07,2024,Towson Tigers,home,62,52,1,225.0,60,22,21,82.68,78.36198179979777,65.72295247724973,79.12,,,,,,,,,,,,0.9020618556701031,1.0,21.338773709748565,17.5,7.5,2.5,0.0,0.0,7.5,7.5,7.5,0.0,0.0,2.5,5.0,0.0,7.5,0,0.0,0.4932428504542212,0.411035708711851,18.549178393200172,18.42938153787531,11.960943081686116,9.967452568071764,5.366992140985949,5.424874403202577,4.79733269826149,4.473967724741719,4.931394714676448,,,,,,1,2024-01-05,2.0,1
