game_id,game_date,team,min,fgm,fga,fg2m,fg2a,fg3m,fg3a,ftm,fta,pts,reb,ast,to,stl,blk,oreb,dreb,pf,ncat_score,opp_score,home_away,win,opponent,is_ncat,team_score,opp_score_,opp_team,opp_min,opp_fgm,opp_fga,opp_fg2m,opp_fg2a,opp_fg3m,opp_fg3a,opp_ftm,opp_fta,opp_pts,opp_reb,opp_ast,opp_to,opp_stl,opp_blk,opp_oreb,opp_dreb,opp_pf,poss,opp_poss,pace,ortg,drtg,efg_pct,ts_pct
401603614,2024-02-11,North Carolina A&T Aggies,200.0,20,56,18,43,2,13,12,16,54,31,10,7,7,0,14,17,7,54,47,away,1,Drexel Dragons,1,54,47,Drexel Dragons,200.0,18,48,14,34,4,14,7,9,47,27,15,12,3,3,10,17,14,56.04,53.96,55.0,98.18181818181819,85.45454545454545,0.375,0.4282994923857868
401603621,2024-02-16,North Carolina A&T Aggies,200.0,21,52,14,35,7,17,24,33,73,46,14,15,4,3,14,32,13,73,58,home,1,Hampton Lady Pirates,1,73,58,Hampton Lady Pirates,200.0,23,64,20,51,3,13,9,14,58,27,16,8,11,3,10,17,27,67.52,68.16,67.84,107.60613207547169,85.49528301886792,0.47115384615384615,0.5487071557426338
401603628,2024-02-18,North Carolina A&T Aggies,250.0,30,82,22,57,8,25,8,15,76,48,22,12,7,3,14,34,23,76,80,home,0,Monmouth Hawks,1,76,80,Monmouth Hawks,250.0,22,66,14,35,8,31,28,30,80,41,13,17,7,8,7,34,17,86.6,89.2,87.9,86.46188850967008,91.01251422070534,0.4146341463414634,0.4288939051918736
401603638,2024-02-25,North Carolina A&T Aggies,200.0,26,54,15,31,11,23,14,17,77,35,17,11,5,2,8,27,14,77,46,away,1,Elon Phoenix,1,77,46,Elon Phoenix,200.0,15,53,12,33,3,20,13,18,46,27,5,12,6,2,8,19,17,64.48,64.92,64.7,119.01081916537865,71.09737248840804,0.5833333333333334,0.6262199089134678
401603648,2024-03-02,North Carolina A&T Aggies,200.0,26,65,18,42,8,23,9,9,69,37,17,9,7,4,13,24,5,69,55,away,1,Northeastern Huskies,1,69,55,Northeastern Huskies,200.0,21,54,12,32,9,22,4,4,55,26,19,11,5,3,3,23,11,64.96,63.76,64.36,107.20944686140459,85.45680546923555,0.46153846153846156,0.5002900232018562
401603655,2024-03-03,North Carolina A&T Aggies,200.0,26,55,22,39,4,16,6,15,62,26,14,18,4,2,7,19,23,62,76,away,0,Stony Brook Seawolves,1,62,76,Stony Brook Seawolves,200.0,26,53,20,31,6,22,18,26,76,33,15,17,6,1,9,24,17,72.6,72.44,72.52,85.49365692222835,104.79867622724765,0.509090909090909,0.5032467532467533
401603659,2024-03-07,North Carolina A&T Aggies,200.0,23,56,21,42,2,14,6,7,54,35,10,23,4,2,10,25,15,54,67,home,0,Drexel Dragons,1,54,67,Drexel Dragons,200.0,26,51,16,31,10,20,5,10,67,19,19,12,11,1,1,18,12,72.08,66.4,69.24000000000001,77.9896013864818,96.76487579433852,0.42857142857142855,0.45700744752877454
401603667,2024-03-09,North Carolina A&T Aggies,200.0,16,45,14,31,2,14,23,29,57,30,14,11,9,5,6,24,21,57,46,home,1,Hofstra Pride,1,57,46,Hofstra Pride,200.0,14,52,9,28,5,24,13,22,46,36,10,21,4,3,14,22,29,62.76,68.68,65.72,86.73158855751673,69.99391357273281,0.37777777777777777,0.493421052631579
401629361,2024-03-15,North Carolina A&T Aggies,200.0,18,51,14,37,4,14,15,18,55,35,8,13,9,7,9,26,10,55,40,home,1,Hofstra Pride,1,55,40,Hofstra Pride,200.0,16,63,12,47,4,16,4,8,40,36,8,13,6,3,14,22,18,62.92,65.52,64.22,85.64310183743382,62.285892245406416,0.39215686274509803,0.46673455532926
401629364,2024-03-16,North Carolina A&T Aggies,200.0,21,71,18,50,3,21,6,10,51,39,9,15,8,0,18,21,14,51,59,away,0,Stony Brook Seawolves,1,51,59,Stony Brook Seawolves,200.0,20,49,12,27,8,22,11,13,59,37,11,20,8,5,9,28,15,72.4,65.72,69.06,73.8488271068636,85.4329568491167,0.31690140845070425,0.3381962864721485
