season,game_id,game_date,opponent,home_away,ncat_score,opp_score,win,team,player,player_id,position,starter,min,pts,reb,ast,stl,blk,to,fgm,fga,fg2m,fg2a,fg3m,fg3a,ftm,fta,oreb,dreb,pf,team_min,team_fga,team_fta,team_to,team_poss,ortg,drtg,pace,opp_drtg_pregame,opp_ortg_pregame,opp_pace_pregame,torvik_barthag,torvik_adjoe,ts_pct,efg_pct,usg_pct,pts_per40,reb_per40,ast_per40,stl_per40,blk_per40,to_per40,fgm_per40,fga_per40,fg3m_per40,fg3a_per40,ftm_per40,fta_per40,oreb_per40,dreb_per40,low_min_flag,position_enc,ts_pct_r5,ts_pct_season,usg_pct_r5,usg_pct_season,pts_per40_r5,pts_per40_season,reb_per40_r5,reb_per40_season,ast_per40_r5,ast_per40_season,to_per40_season,rim_rate_r5,three_rate_r5,avg_shot_dist_r5,assisted_rate_r5,foul_drawn_rate_r5,on_hot_streak,prev_game_date,days_rest,is_home
2026,401820801,2025-12-03,Charlotte 49ers,away,57,74,0,Charlotte 49ers,A. Bonke,5240529,C,True,20.0,9,4,2,2,1,1,4,6,3,4,1,2,0,0,2,2,3,200.0,50,19,11,61.36,117.34855692990803,90.39010466222645,63.06,116.36901343446854,109.77114752586576,64.90400000000001,,,0.75,0.75,20.18454440599769,18.0,8.0,4.0,4.0,2.0,2.0,8.0,12.0,2.0,4.0,0.0,0.0,4.0,4.0,0,2.0,,,,,,,,,,,,,,,,,0,,7.0,0
2026,401827531,2025-12-20,Mid-Atlantic Christian Mustangs,home,95,55,1,Mid-Atlantic Christian Mustangs,A. Bowles,5320703,G,True,14.0,5,0,0,0,0,1,2,12,2,7,0,5,1,2,0,0,1,200.0,64,18,5,71.92,76.11403265983948,131.4696927760864,72.25999999999999,143.49277298262567,72.11013942779476,74.44000000000001,,,0.19409937888198756,0.16666666666666666,51.55634796820444,14.285714285714286,0.0,0.0,0.0,0.0,2.857142857142857,5.714285714285714,34.285714285714285,0.0,14.285714285714286,2.857142857142857,5.714285714285714,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,0,,7.0,1
2024,401600711,2024-02-09,Charleston Cougars,away,58,80,0,Charleston Cougars,A. Brzovic,5105761,F,True,24.0,11,6,3,0,0,2,5,10,4,8,1,2,0,2,1,5,1,200.0,68,18,9,70.92,115.34025374855825,83.62168396770473,69.36,113.55086208107033,121.84166880955812,69.408,,,0.5055147058823529,0.55,25.27869367247606,18.333333333333336,10.0,5.0,0.0,0.0,3.3333333333333335,8.333333333333334,16.666666666666668,1.6666666666666667,3.3333333333333335,0.0,3.3333333333333335,1.6666666666666667,8.333333333333334,0,1.0,,,,,,,,,,,,,,,,,0,,7.0,0
2025,401714254,2025-02-06,Charleston Cougars,away,63,66,0,Charleston Cougars,A. Brzovic,5105761,F,True,35.0,24,9,3,2,1,3,9,16,9,12,0,4,6,8,2,7,2,200.0,55,13,10,64.72,101.72626387176327,97.10234278668311,64.88,115.24377233736882,117.2138004637502,68.59200000000001,,,0.6147540983606558,0.5625,36.39301874595992,27.428571428571427,10.285714285714285,3.4285714285714284,2.2857142857142856,1.1428571428571428,3.4285714285714284,10.285714285714285,18.285714285714285,0.0,4.571428571428571,6.857142857142857,9.142857142857142,2.2857142857142856,8.0,0,1.0,,,,,,,,,,,,,,,,,0,,7.0,0
2025,401714277,2025-02-15,Charleston Cougars,home,59,69,0,Charleston Cougars,A. Brzovic,5105761,F,True,26.0,9,6,1,0,1,0,4,12,4,11,0,1,1,2,0,6,2,200.0,52,23,10,67.12,104.16666666666666,89.07004830917873,66.24000000000001,114.22565488603061,107.94896479992678,69.584,,,0.3493788819875776,0.3333333333333333,27.475574896539957,13.846153846153847,9.230769230769232,1.5384615384615385,0.0,1.5384615384615385,0.0,6.153846153846154,18.461538461538463,0.0,1.5384615384615385,1.5384615384615385,3.076923076923077,0.0,9.230769230769232,0,1.0,,,,,,,,,,,,,,,,,0,2025-02-06,9.0,1
2024,401581727,2023-11-22,Merrimack Warriors,away,73,96,0,Merrimack Warriors,A. Clark,5177275,G,True,29.0,19,1,6,4,0,1,6,12,6,11,0,1,7,8,0,1,2,200.0,61,29,9,76.76,124.32012432012431,94.53509453509453,77.22,104.33748606791491,98.91747452632839,67.865,,,0.6121134020618557,0.5,27.532874452092464,26.20689655172414,1.3793103448275863,8.275862068965518,5.517241379310345,0.0,1.3793103448275863,8.275862068965518,16.551724137931036,0.0,1.3793103448275863,9.655172413793103,11.03448275862069,0.0,1.3793103448275863,0,0.0,,,,,,,,,,,,,,,,,0,,7.0,0
2024,401600741,2024-02-22,Stony Brook Seawolves,away,64,80,0,Stony Brook Seawolves,A. Clarke,4397995,NA,True,26.0,2,10,8,0,0,2,1,9,1,3,0,6,0,0,1,9,1,200.0,61,19,7,68.36,114.4492131616595,91.5593705293276,69.9,108.27993488802285,107.59154942292943,68.43199999999999,,,0.1111111111111111,0.1111111111111111,22.162227505339082,3.076923076923077,15.384615384615385,12.307692307692308,0.0,0.0,3.076923076923077,1.5384615384615385,13.846153846153847,0.0,9.230769230769232,0.0,0.0,1.5384615384615385,13.846153846153847,0,1.0,,,,,,,,,,,,,,,,,0,,7.0,0
2025,401714254,2025-02-06,Charleston Cougars,away,63,66,0,Charleston Cougars,A. Comer,4897002,F,False,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200.0,55,13,10,64.72,101.72626387176327,97.10234278668311,64.88,115.24377233736882,117.2138004637502,68.59200000000001,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,,,,,,,,,,,,,,,,,0,,7.0,0
2025,401714277,2025-02-15,Charleston Cougars,home,59,69,0,Charleston Cougars,A. Comer,4897002,F,False,11.0,4,2,0,0,0,0,2,2,2,2,0,0,0,0,0,2,1,200.0,52,23,10,67.12,104.16666666666666,89.07004830917873,66.24000000000001,114.22565488603061,107.94896479992678,69.584,,,1.0,1.0,10.08420309585035,14.545454545454545,7.2727272727272725,0.0,0.0,0.0,0.0,7.2727272727272725,7.2727272727272725,0.0,0.0,0.0,0.0,0.0,7.2727272727272725,0,1.0,,,,,,,,,,,,,,,,,0,2025-02-06,9.0,1
2026,401820801,2025-12-03,Charlotte 49ers,away,57,74,0,Charlotte 49ers,A. Conyers,5093265,F,True,24.0,13,3,0,2,1,1,4,9,1,3,3,6,2,2,0,3,0,200.0,50,19,11,61.36,117.34855692990803,90.39010466222645,63.06,116.36901343446854,109.77114752586576,64.90400000000001,,,0.6578947368421052,0.6111111111111112,26.14379084967321,21.666666666666668,5.0,0.0,3.3333333333333335,1.6666666666666667,1.6666666666666667,6.666666666666667,15.0,5.0,10.0,3.3333333333333335,3.3333333333333335,0.0,5.0,0,1.0,,,,,,,,,,,,,,,,,0,,7.0,0
